,Unnamed: 0,question,distractor3,distractor1,distractor2,correct_answer,support,baseline_answer,question_context,previous_questions_context,baseline_answer_A,question_context_A,previous_questions_context_A
214,214,What is a mass spectrometer used to measure?,optical atomic masses,partial atomic masses,subatomic masses,relative atomic masses,"Although the masses of the electron, the proton, and the neutron are known to a high degree of precision (Table 1.3 ""Properties of Subatomic Particles*""), the mass of any given atom is not simply the sum of the masses of its electrons, protons, and neutrons. For example, the ratio of the masses of 1H (hydrogen) and 2H (deuterium) is actually 0.500384, rather than 0.49979 as predicted from the numbers of neutrons and protons present. Although the difference in mass is small, it is extremely important because it is the source of the huge amounts of energy released in nuclear reactions (Chapter 20 ""Nuclear Chemistry""). Because atoms are much too small to measure individually and do not have a charge, there is no convenient way to accurately measure absolute atomic masses. Scientists can measure relative atomic masses very accurately, however, using an instrument called a mass spectrometer. The technique is conceptually similar to the one Thomson used to determine the mass-to-charge ratio of the electron. First, electrons are removed from or added to atoms or molecules, thus producing charged particles called ions. When an electric field is applied, the ions are accelerated into a separate chamber where they are deflected from their initial trajectory by a magnetic field, like the electrons in Thomson’s experiment. The extent of the deflection depends on the mass-to-charge ratio of the ion. By measuring the relative deflection of ions that have the same charge, scientists can determine their relative masses (Figure 1.25 ""Determining Relative Atomic Masses Using a Mass Spectrometer""). Thus it is not possible to calculate absolute atomic masses accurately by simply adding together the masses of the electrons, the protons, and the neutrons, and absolute atomic masses cannot be measured, but relative masses can be measured very accurately. It is actually rather common in chemistry to encounter a quantity whose magnitude can be measured only relative to some other quantity, rather than absolutely. We will encounter many other examples later in this text. In such cases,.",C,D,A,C,A,A
218,218,What does a pollinator pick up from its body and carry directly to another plant of the same species?,seed,spore,pathogen,pollen,"Wind-blown pollen might land anywhere and be wasted. Another adaptation solved this problem. Plants evolved traits that attract specific animal pollinators. Like the bee in Figure below , a pollinator picks up pollen on its body and carries it directly to another plant of the same species. This greatly increases the chance that fertilization will occur.",C,A,D,D,A,D
219,219,What is formed when an oxygen atom picks up a pair of hydrogen ions from a solution?,ammonia,liquid,turpentine,water,,D,D,A,D,D,D
222,222,How many naturally occurring elements are known on earth?,87,85,60,90,"An element, as defined in Chapter 1 ""Chemistry, Matter, and Measurement"", is a substance that cannot be broken down into simpler chemical substances. There are about 90 naturally occurring elements known on Earth. Using technology, scientists have been able to create nearly 30 additional elements that do not occur in nature. Today, chemistry recognizes 118 elements—some of which were created an atom at a time. Figure 2.1 ""Samples of Elements"" shows some of the chemical elements.",B,D,A,D,A,A
223,223,What are the two types of vesicle transport called?,eptocytosis and exocytosis,dielectric and exocytosis,epithelium and exocytosis,endocytosis and exocytosis,,D,D,A,A,D,D
236,236,What do the letters in our blood types represent?,iron levels,genomes,proteins,alleles,"Another exception to Mendel's laws is a phenomenon called codominance . For example, our blood type shows codominance. Do you know what your blood type is? Are you A? O? AB? Those letters actually represent alleles. Unlike other traits, your blood type has three alleles, instead of two!.",D,A,D,D,A,D
244,244,"What term that shows how fast a population is growing includes new members added to the population over a given period, as well as old members removed from the population?",emigration,birth rate,population density,growth rate,The population growth rate is how fast a population is growing. The letter r stands for the growth rate. The growth rate equals the number of new members added to the population in a year for each 100 members already in the population. The growth rate includes new members added to the population and old members removed from the population. Births add new members to the population. Deaths remove members from the population. The formula for population growth rate is:.,C,D,C,C,C,C
251,251,"Cycling, shoveling snow and cross-country skiing are examples of what kind of heart-strengthening activity?",exercise,metabolism,anaerobic,aerobic,"When done regularly, aerobic activities, such as cycling, make the heart stronger. Other aerobic activities include mowing lawn, shoveling snow and cross country skiing.",D,A,D,A,A,A
271,271,For what purpose does liver use the excess carbohydrate?,convert starches,process sugar,dilute carbohydrates,to synthesize glycogen,"Obesity With obesity at high rates in the United States, there is a public health focus on reducing obesity and associated health risks, which include diabetes, colon and breast cancer, and cardiovascular disease. How does the food consumed contribute to obesity? Fatty foods are calorie-dense, meaning that they have more calories per unit mass than carbohydrates or proteins. One gram of carbohydrates has four calories, one gram of protein has four calories, and one gram of fat has nine calories. Animals tend to seek lipid-rich food for their higher energy content. Greater amounts of food energy taken in than the body’s requirements will result in storage of the excess in fat deposits. Excess carbohydrate is used by the liver to synthesize glycogen. When glycogen stores are full, additional glucose is converted into fatty acids. These fatty acids are stored in adipose tissue cells—the fat cells in the mammalian body whose primary role is to store fat for later use. The rate of obesity among children is rapidly rising in the United States. To combat childhood obesity and ensure that children get a healthy start in life, in 2010 First Lady Michelle Obama launched the Let’s Move! campaign. The goal of this campaign is to educate parents and caregivers on providing healthy nutrition and encouraging active lifestyles in future generations. This program aims to involve the entire community, including parents, teachers, and healthcare providers to ensure that children have access to healthy foods—more fruits, vegetables, and whole grains—and consume fewer calories from processed foods. Another goal is to ensure that children get physical activity. With the increase in television viewing and stationary pursuits such as video games, sedentary lifestyles have become the norm. Visit www. letsmove. gov to learn more.",A,A,D,C,A,A
273,273,What are alkenes organic compounds that contain one or more double or triple bonds between carbon atoms described as?,strong,saturated,insulated,unsaturated,"Alkenes Organic compounds that contain one or more double or triple bonds between carbon atoms are described as unsaturated. You have likely heard of unsaturated fats. These are complex organic molecules with long chains of carbon atoms, which contain at least one double bond between carbon atoms. Unsaturated hydrocarbon molecules that contain one or more double bonds are called alkenes. Carbon atoms linked by a double bond are bound together by two bonds, one σ bond and one π bond. Double and triple bonds give rise to a different geometry around the carbon atom that participates in them, leading to important differences in molecular shape and properties. The differing geometries are responsible for the different properties of unsaturated versus saturated fats. Ethene, C2H4, is the simplest alkene. Each carbon atom in ethene, commonly called ethylene, has a trigonal planar structure. The second member of the series is propene (propylene) (Figure 20.7); the butene isomers follow in the series. Four carbon atoms in the chain of butene allows for the formation of isomers based on the position of the double bond, as well as a new form of isomerism.",C,D,C,C,C,D
291,291,"In this type of reaction, an element replaces another element in a compound, and the element is in any state of matter but is not an ion?",polar reaction,double-replacement reaction,replication reaction,single-replacement reaction,"A single-replacement reaction is one in which an element replaces another element in a compound. An element is in either the solid, liquid, or gas state and is not an ion. The example below shows the reaction of solid magnesium metal with aqueous silver nitrate to form aqueous magnesium nitrate and silver metal.",D,D,C,C,D,D
315,315,Populations of viruses do not grow through cell division because they?,non living,Static,Acidic,are not cells,"Populations of viruses do not grow through cell division because they are not cells. Instead, they use the machinery and metabolism of a host cell to produce new copies of themselves. After infecting a host cell, a virion uses the cell’s ribosomes, enzymes, ATP, and other components to replicate. Viruses vary in how they do this. For example:.",D,A,D,D,A,D
323,323,What do craters and rifts become when the fill with water?,grasses,rivers,creeks,lakes,Craters and rifts become lakes when they fill with water. Where does the water come from?.,D,D,C,C,C,A
341,341,What basic plant structure facilitates dispersal of pollen and fruit by raising reproductive structures?,flower,root,leaf,stem,,D,D,A,D,D,D
343,343,Which part of the ear amplifies the sound waves?,cochlea,eardrum,ear canal,middle ear,"The outer ear catches sound waves and funnels them to the middle ear. The middle ear amplifies the sound waves and passes them to the inner ear. The inner ear changes the sound waves to electrical signals. The signals travel to the brain, which interprets the sounds.",A,A,D,A,B,A
348,348,Water is recycled constantly through which system?,the troposphere,the hydropshere,the habitat,the ecosystem,"Water is recycled constantly through the ecosystem. That means any water you drank today has been around for millions of years. You could be drinking water that was once drunk by George Washington, the first humans, or even the dinosaurs.",C,D,C,C,A,D
352,352,The function of which organ is to filter blood and form urine?,gallbladder,liver,lungs,kidneys,,D,D,C,D,D,D
365,365,"If force is applied further away from a pivot point, than what kind of acceleration will be greater?",parameters,circular,rectangular,angular,"10.3 Dynamics of Rotational Motion: Rotational Inertia If you have ever spun a bike wheel or pushed a merry-go-round, you know that force is needed to change angular velocity as seen in Figure 10.10. In fact, your intuition is reliable in predicting many of the factors that are involved. For example, we know that a door opens slowly if we push too close to its hinges. Furthermore, we know that the more massive the door, the more slowly it opens. The first example implies that the farther the force is applied from the pivot, the greater the angular acceleration; another implication is that angular acceleration is inversely proportional to mass. These relationships should seem very similar to the familiar relationships among force, mass, and acceleration embodied in Newton’s second law of motion. There are, in fact, precise rotational analogs to both force and mass.",D,D,A,D,D,D
369,369,What do hydrophilic substances have an affinity for?,heat,air,soil,water,,D,D,C,D,D,D
376,376,How many types of bosons are there?,five,three,one,four,"There are four known types of bosons, which are force-carrying particles. Each of these bosons carries a different fundamental force between interacting particles. In addition, there is a particle which may exist, called the ""Higgs Boson"", which gives objects the masses they have. Some types of bosons have mass; others are massless. Bosons have an electric charge of +1, -1, or 0.",D,D,B,D,C,C
400,400,What is the term for a random change in allele frequencies that occurs in a small population?,mutation,evolution,speciation,genetic drift,"Genetic drift is a random change in allele frequencies that occurs in a small population. When a small number of parents produce just a few offspring, allele frequencies in the offspring may differ, by chance, from allele frequencies in the parents.",C,D,C,C,A,A
404,404,What is composed of two strands of nucleotides in a double-helical structure?,bacteria,molecule,RNA,dna,"DNA Double-Helical Structure DNA has a double-helical structure (Figure 2.23). It is composed of two strands, or polymers, of nucleotides. The strands are formed with bonds between phosphate and sugar groups of adjacent nucleotides. The strands are bonded to each other at their bases with hydrogen bonds, and the strands coil about each other along their length, hence the “double helix” description, which means a double spiral.",B,A,D,A,D,A
410,410,Which part of the wave helps make the wave bend and cause refraction?,bright part,dense part,heavy part,shallow part,"Lymph that collects in tissues slowly passes into tiny lymph vessels. Lymph then travels from smaller to larger lymph vessels. Muscles around the lymph vessels contract and squeeze the lymph through the vessels. The lymph vessels also contract to help move the lymph along. Eventually, lymph reaches the main lymph vessels, which are located in the chest. From these vessels, lymph drains into two large veins of the cardiovascular system. This is how lymph returns to the blood.",D,D,C,C,B,D
416,416,What atmospheric layer lies above the highest altitude an airplane can go and below the lowest altitude a spacecraft can orbit?,thermosphere,stratosphere,troposphere,mesosphere,"Not so fast. The mesosphere is the least known layer of the atmosphere. The mesosphere lies above the highest altitude an airplane can go. It lies below the lowest altitude a spacecraft can orbit. Maybe that's just as well. If you were in the mesosphere without a space suit, your blood would boil! This is because the pressure is so low that liquids would boil at normal body temperature.",C,D,C,D,A,D
417,417,Where are sensors for thermoregulation concentrated in the brain?,medulla,thyroid,pituitary gland,the hypothalamus,,A,A,D,A,A,A
421,421,Organisms that obtain food from outside themselves (i.e. they don't make their own food) are known as what?,fungi,autotrophs,zygotes,heterotrophs,"Fungi are heterotrophs, meaning they obtain food from outside themselves.",C,D,A,C,D,D
436,436,Dalton's law and henry's law both describe aspects of what type of exchange?,liquid,energy,electron,gas,"22.4 Gas Exchange The behavior of gases can be explained by the principles of Dalton’s law and Henry’s law, both of which describe aspects of gas exchange. Dalton’s law states that each specific gas in a mixture of gases exerts force (its partial pressure) independently of the other gases in the mixture. Henry’s law states that the amount of a specific gas that dissolves in a liquid is a function of its partial pressure. The greater the partial pressure of a gas, the more of that gas will dissolve in a liquid, as the gas moves toward equilibrium. Gas molecules move down a pressure gradient; in other words, gas moves from a region of high pressure to a region of low pressure. The partial pressure of oxygen is high in the alveoli and low in the blood of the pulmonary capillaries. As a result, oxygen diffuses across the respiratory membrane from the alveoli into the blood. In contrast, the partial pressure of carbon dioxide is high in the pulmonary capillaries and low in the alveoli. Therefore, carbon dioxide diffuses across the respiratory membrane from the blood into the alveoli. The amount of oxygen and carbon dioxide that diffuses across the respiratory membrane is similar. Ventilation is the process that moves air into and out of the alveoli, and perfusion affects the flow of blood in the capillaries. Both are important in gas exchange, as ventilation must be sufficient to create a high partial pressure of oxygen in the alveoli. If ventilation is insufficient and the partial pressure of oxygen drops in the alveolar air, the capillary is constricted and blood flow is redirected to alveoli with sufficient ventilation. External respiration refers to gas exchange that occurs in the alveoli, whereas internal respiration refers to gas exchange that occurs in the tissue. Both are driven by partial pressure differences.",D,D,B,A,A,D
448,448,What do cells secrete that binds to receptors?,proteins,stress,endorphans,factor,,A,A,D,A,A,D
449,449,What is the term for the tube that carries sound waves into the ear?,tone canal,sound canal,flap canal,ear canal,The ear canal is a tube that carries sound waves into the ear. The sound waves travel through the air inside the ear canal to the eardrum.,A,D,C,C,A,A
454,454,"When we consider a chemical reaction, we need to take into account both the system and what?",time,date,fluctuations,sorroundings,"When we consider a chemical reaction, we need to take into account both the system and the surroundings. The system includes the components involved in the chemical reaction itself. These will often take place in a flask, a beaker, a test tube, or some other container. The surroundings include everything that is not part of the system. When potassium reacts with water, part of the heat energy generated in the reaction is released into the surroundings. The boundary between system and surroundings is arbitrary, and it is generally chosen in a way that makes observations and calculations easier.",B,D,B,D,D,D
464,464,What happens to old oceanic crust at convergent boundaries?,emerges,created,dissolves,destroyed,"It’s much easier to precisely make mirrors than to precisely make glass lenses. For that reason, reflectors can be made larger than refractors. Larger telescopes can collect more light. This means that they can study dimmer or more distant objects. The largest optical telescopes in the world today are reflectors. Telescopes can also be made to use both lenses and mirrors.",C,A,C,C,D,A
466,466,What happens to the temperature of matter as light is absorbed?,it drops,it stays the same,it triples,it increases,http://www. chem. ufl. edu/~itl/2045/lectures/lec_d. html.,D,D,A,D,D,D
476,476,Sexually reproducing organisms alternate between which stages?,diploid and traploid,binary and diploid,binary and haploid,haploid and diploid,"CHAPTER SUMMARY 7.1 Sexual Reproduction Nearly all eukaryotes undergo sexual reproduction. The variation introduced into the reproductive cells by meiosis appears to be one of the advantages of sexual reproduction that has made it so successful. Meiosis and fertilization alternate in sexual life cycles. The process of meiosis produces genetically unique reproductive cells called gametes, which have half the number of chromosomes as the parent cell. Fertilization, the fusion of haploid gametes from two individuals, restores the diploid condition. Thus, sexually reproducing organisms alternate between haploid and diploid stages. However, the ways in which reproductive cells are produced and the timing between meiosis and fertilization vary greatly. There are three main categories of life cycles: diploid-dominant, demonstrated by most animals; haploid-dominant, demonstrated by all fungi and some algae; and alternation of generations, demonstrated by plants and some algae.",D,D,C,C,C,C
483,483,What is the term for groups of three successive nucleotide bases in dna?,triple play,triads,tertiary bases,triplets,Overview of Transcription. Transcription uses the sequence of bases in a strand of DNA to make a complementary strand of mRNA. Triplets are groups of three successive nucleotide bases in DNA. Codons are complementary groups of bases in mRNA.,D,D,C,D,D,D
