,question,distractor3,distractor1,distractor2,correct_answer,support,small
317,What is a type of solid that lacks an ordered internal structure?,an elastic solid,ice,a sponge,an amorphous solid,An amorphous solid is a solid that lacks an ordered internal structure.,D
319,What is the largest human organ?,lungs,stomach,brain,skin,"human body system that includes the skin, nails, and hair.",D
322,What is the process of action potentials in myelinated axons jumping between the nodes of ranvier called?,pinworm conduction,photoreactive conduction,saltatory movement,saltatory conduction,,D
323,What do craters and rifts become when the fill with water?,grasses,rivers,creeks,lakes,Craters and rifts become lakes when they fill with water. Where does the water come from?.,D
327,Alkenes have double bonds while alkynes have what?,quadruple bonds,single bonds,equal bonds,triple bonds,Alkenes have double bonds; alkynes have triple bonds. Both undergo addition reactions.,D
329,Rapidly produced genetic vairants are found in organisms with what type of generation time?,oscillating,long,repeating,short,,D
341,What basic plant structure facilitates dispersal of pollen and fruit by raising reproductive structures?,flower,root,leaf,stem,,A
352,The function of which organ is to filter blood and form urine?,gallbladder,liver,lungs,kidneys,,C
366,The kinetic-molecular theory as it applies to gases has how many basic assumptions?,seven,four,two,five,The kinetic-molecular theory as it applies to gases has five basic assumptions.,D
369,What do hydrophilic substances have an affinity for?,heat,air,soil,water,,D
375,"Animals require air, water, and what in order to live and survive?",shade,time,mates,food?,,D
378,An electron possesses both particle and these?,land properties,shock properties,surging properties,wave properties,An electron possesses both particle and wave properties. CONCEPTUAL PROBLEMS 1.,D
379,What are mutant versions of normal genes called?,extinction - oncogenes,antecedent - oncogenes,anti-oncogenes,proto-oncogenes,,D
382,"Pressure, volume, and temperature are related by which law?",Murphy's Law,Law of Conservation,law of inertia,gas law,"Pressure, volume, and temperature are related by the combined gas law.",D
383,"Different forms, or allotropes, of carbon are diamond, graphite, and what?",carbonite,ligands,vesicles,fullerenes,"Different forms, or allotropes, of carbon are diamond, graphite, and fullerenes.",D
387,Zinc reacting with hydrochloric acid produces bubbles of which gas?,mustard,carbon,helium,hydrogen,Zinc reacting with hydrochloric acid produces bubbles of hydrogen gas.,D
390,"What term indicates moles per liter, whereas molality is moles per kilogram of solvent?",kilocalorie,pollenation,abundance,molarity,"A N SW E R S 1. Molarity is moles per liter, whereas molality is moles per kilogram of solvent.",D
394,Atoms of the same element that have different masses are called what?,mutations,variations,radioactive,isotopes,Isotopes are atoms of the same element that have different masses.,D
398,What is the largest cartilaginous fish?,sturgeon,dolphin,blue whale,whale shark,Mike Johnston. Whale sharks are the largest cartilaginous fish . CC BY 2.0.,D
409,What type of bonds do alkanes only contain?,hydrogen-carbon bonds,hydrogen bonds,carbon-hydrogen bonds,carbon-carbon single bonds,Alkanes contain only carbon-carbon single bonds.,D
411,What are passed from one generation to the next so species can survive?,fluctuations,selections,mutations,adaptatioins,,D
417,Where are sensors for thermoregulation concentrated in the brain?,medulla,thyroid,pituitary gland,the hypothalamus,,D
421,Organisms that obtain food from outside themselves (i.e. they don't make their own food) are known as what?,fungi,autotrophs,zygotes,heterotrophs,"Fungi are heterotrophs, meaning they obtain food from outside themselves.",D
429,The skull is a part of a vertebrate endoskeleton that encloses and protects what organ?,heart,nervous system,lung,brain,part of a vertebrate endoskeleton that encloses and protects the brain; also called the skull.,D
445,Where do the eggs develop?,the follicles,the uterus,the glands,the ovaries,,D
446,What's the other term for your wind pipe?,esophagus,cornea,cochlea,trachea,"The trachea , or wind pipe, is a long tube that leads down to the chest.",D
447,"When food is scarce, starving cells secrete a molecule that stimulates neighboring cells to do what?",die off,compete,hoard energy,aggregate,,D
448,What do cells secrete that binds to receptors?,proteins,stress,endorphans,factor,,A
453,The water cycle involves movement of water between air and what?,air,tree,animals,land,,D
460,Marine fishes take in divalent ions by incessantly drinking what?,algae,sand,oxygen,seawater,,D
462,Frequency and intensity are two measurable properties of what?,troughs,heat,lines,wave,All waves can be defined in terms of their frequency and intensity.,D
463,"While most mammals give birth to live young, monotremes can do what?",steal eggs,reproduce asexually,adopt offspring,lay eggs,"Monotremes can lay eggs, but most mammals give birth to live young.",D
466,What happens to the temperature of matter as light is absorbed?,it drops,it stays the same,it triples,it increases,http://www. chem. ufl. edu/~itl/2045/lectures/lec_d. html.,D
469,An action potential that starts at the axon hillock moves along the axon only toward what?,polar synapses,nerve endings,ionic pathways,the synaptic terminals,,C
473,What is the difference between the daily high and the daily low?,sunrise and sunset,weather forecast,margin of error,tidal change,The difference between the daily high and the daily low is the tidal range.,D
481,Does climate change have a positive or negative effect on reproductive success?,both,neither,positive,negative,,B
486,How many different types of stresses are there?,three,five,seven,four,Stress is the force applied to a rock. There are four types of stresses:.,D
493,What term is used to describe a chemical released by an animal that affects the behavior or physiology of animals of the same species?,amino,enzyme,isolate,pheromone,The amount of material left over after a certain number of half-lives can be easily calculated.,D
494,Producers at the base of ecological food webs are also known as?,mutualistic,endoscopic,symbiotic,autotrophic,,D
496,What must happen for two ions to form an ionic bond?,two ions need to have neutral charges,two ions need to have the same charge,Two ions need to be the same size,two ions need to have opposite charges,,D
500,The products of photosynthesis are glucose and what else?,nitrogen,carbon,hydrogen,oxygen,The products of photosynthesis are glucose and oxygen.,D
501,In what way do bacteria reproduce?,cellular respiration,sexual reproduction,fragmentation,binary fission,"Bacteria reproduce by binary fission, resulting in two daughter cells identical to the parent cell.",D
502,What type of fibers are made mostly of protein in living things?,connective tissue fibers,organ fibers,liver fibers,muscle fibers,Muscle fibers are made mostly of protein.,D
505,What type of rocks form from cooled magma or lava?,metamorphic,granite,sedementary,igneous,Igneous rocks form from cooled magma or lava.,D
509,Gymnosperms have seeds but do not have what?,roots,leaves,stems,flowers,Gymnosperms have seeds but do not have flowers.,D
511,The right ventricle pumps what type of blood toward the lungs?,oxygen-rich,plasma,oxygenated,oxygen-poor,"The right ventricle pumps oxygen-poor blood toward the lungs, where it receives oxygen.",D
512,Some 96% of the dry mass consists of organic compounds produced by what?,reproduction,erosion,electrolysis,photosynthesis,,D
519,"Common among mammals and insects, pheromones are often related to what type of behavior?",cardiac,aggressive,immune,reproductive,,C
521,"In recent years, however, researchers have discovered that microsporidia actually have tiny organelles derived from what?",plasma,proteins,carbohydrates,mitochondria,,D
526,What are proteins encoded by?,codons,DNA,RNA,genes,,D
528,What is another term for scale worms?,spirogyra,trichina,wormidanopis,halkieria,"Halkieria, or scale worms, are an example of a fossil life from the Cambrian.",D
529,What type of device do scientist use to determine wind speed?,dynamometer,barometer,photometer,anemometer,,D
533,The theory that establishes the concepts of atoms and how they compose matter is called what?,contemporary atomic theory,modern particle theory,unified matter theory,modern atomic theory,The modern atomic theory establishes the concepts of atoms and how they compose matter.,D
536,What does the activity of an organism depend on the totality of?,chemical attraction,interdependence,adaptations,independent cells,"the activity of an organism depends on the total activity of independent cells,.",D
537,What is solid water that forms when water vapor undergoes deposition?,dew,distillate,glacier,frost,Frost is solid water that forms when water vapor undergoes deposition.,D
542,Matter can be described with what two encompassing types of properties?,color and distance,velocity and energy,thermal and magnetic,physical and chemical,Matter can be described with both physical properties and chemical properties.,D
543,"When the number of active receptors falls below that threshold, what happens to the cellular response?",it stabilizes,it responds,it increases,it ceases,,D
544,"Types of neurons include sensory neurons, motor neurons, and?",synapses,histones,anions,interneurons,"Types of neurons include sensory neurons, motor neurons, and interneurons.",D
546,What is the energy of motion called?,mixed energy,binary energy,potential energy,kinetic energy,,D
547,What is the term for an infection caused by a fungal parasite?,acrobasis,mydriasis,mitosis,mycosis,,D
549,Some plants can detect increased levels of what when reflected from leaves of encroaching neighbors?,air,water,oxygen,light,,D
552,"When acellular slime molds swarm, they fuse together to form a single cell with many what?",lungs,digestive tracts,cytoplasm,nuclei,"When acellular slime molds swarm, they fuse together to form a single cell with many nuclei.",D
560,"In fruit flies, all homeotic genes are found on one what?",site,genome,enzymes,chromosome,,D
568,Gas particles can move randomly in what directions?,some directions,one direction,few directions,all directions,Christopher Auyeung. Gas particles move randomly in all directions . CC BY-NC 3.0.,D
569,The total number of protons and neutorns in an atom is called what?,formation number,atom number,volume number,mass number,The mass number is defined as the total number of protons and neutrons in an atom.,D
578,"Without the dominant disturbance, the fire-adapted species are usually outcompeted and biodiversity is what?",increased,immaterial,unaffected,reduced,,D
579,Constantly going through some form of growth and repair is a characteristic of all what?,mass,viruses,bacteria,living things,,D
583,How many years ago may the earliest fungi have evolved?,.250 million,.350 million,500 million,600 million,The earliest fungi may have evolved about 600 million years ago.,D
585,"Sepals, petals, stamens, and carpels are what kind of organs?",marine,animal,reproductive,floral,,B
586,How do most growing plant cells expand?,through photosynthesis,through germination,through cell respiration,through water uptake,,D
588,What kind of reaction is needed to prepare amides?,lipophilic acid reaction,amino acid reaction,oxidize acid reaction,carboxylic acid reaction,Amides are prepared by the reaction of a carboxylic acid with ammonia or an amine.,D
589,What is the process by which the egg is fertilized by the pollen of the same flower?,self condensation,self formation,self realization,self pollination,"In self-pollination , the egg is fertilized by the pollen of the same flower.",D
590,"In moss, what becomes elongated to elevate the capsule to enhance spore dispersal?",porta,sera,risa,seta,,D
593,Displacement divided by time is equal to the average what?,acceleration,force,speed,velocity,Average velocity is displacement divided by time.,D
603,What tissue do clubmosses have that mosses do not?,chorophyll,dioxide tissue,nuclei,vascular tissue,"Clubmosses can resemble mosses; however, clubmosses have vascular tissue, while mosses do not.",D
609,What is defined as the change of water from its liquid phase to its gaseous phase?,transpiration,absorption,condensation,evaporation,,D
610,"Radiation, chemicals, and infectious agents are types of what?",dioxins,mutations,endogenous,mutagens,"Types of mutagens include radiation, chemicals, and infectious agents.",D
616,"Cells in blood include red blood cells, white blood cells, and what?",plasmids,protons,droplets,platelets,"Cells in blood include red blood cells, white blood cells, and platelets.",D
620,How many mass distinctions have radically altered the history of life?,four,six,one,five,,B
622,What determines how strongly an atom attracts electrons to itself?,gravity,enthalpy,ionization,electronegativity,The electronegativity of an atom determines how strongly it attracts electrons to itself.,D
627,There is a predictable amount of solute that can be dissolved at what?,room temperature,flat rate,light speed,specific temperature,There is a predictable amount of solute that can be dissolved at a specific temperature.,D
632,Cilia and flagella are extensions of what?,cell wall,cell nucleus,protoplasm,plasma membrane,Cilia and flagella are extensions of the plasma membrane.,D
634,"During karyogamy, the haploid nuclei contributed by the two parents fuse, which produces what?",cancer cells,mutated cells,arisen cells,diploid cells,,D
636,Every chemical reaction occurs with a concurrent change in what?,hydrogen,neutrons,mass,energy,Every chemical reaction occurs with a concurrent change in energy.,D
637,What receives blood in the heart?,the epidermis,chamber,ventricle,the atria,The atria receive blood and the ventricles pump blood out of the heart.,D
639,Where in the cell does photosynthesis occur?,pathogen,cell wall,genome,chloroplast,Photosynthesis occurs in the chloroplast of the plant cell.,D
642,What are found in moist forests that break down decaying plant material?,organism,trichina,spirogyra,myriapoda,"Myriapoda are usually found in moist forests, where they break down decaying plant material.",D
651,"The sun, stars, moon, planets and comets are all type of what objects?",spacial,extraterrestrial,universal,celestrial,,D
654,"While similar to insects, what eight-legged invertebrates lack antennae or wings?",crustaceans,spiders,reptiles,arachnids,Arachnids do not have antennae or wings.,D
656,What is the term for land that has permanently frozen soil?,Arctic,ice desert,snow-field,permafrost,Permafrost is land with permanently frozen soil.,D
667,"When heat flows into an object, its thermal energy increases and so does its what?",color,matter,speed,temperature,"When heat flows into an object, its thermal energy increases and so does its temperature.",D
669,The science of analyzing tree rings is called what?,estradiol,algorithms,conservation,dendrochronology,,D
670,Which type of arthritis causes the immune system to attack joints?,Spondylarthropathies,Osteoarthritis,Gout,rheumatoid,"In rheumatoid arthritis, the immune system attacks joints. This causes joint damage and pain.",D
681,What regulates homeostasis and basic survival behaviors?,cell membrane,hippocampus,mitosis,hypothalamus,,D
683,What are two nonliving things that all living things need for survival?,methane,sunlight,calcium,water and air,,C
697,What three forces are involved in erosion?,"radiation, gravity, precipitation","water, temperature, altitude","heat, pressure, gravity","water, wind, gravity",,D
705,What is the name of the portion of a nucleotide lacking phosphate groups?,nucleolus,nuclear shell,a nucleobase,a nucleoside,,D
706,The band disappears before metaphase but predicts the future plane of what?,cell solution,cell matter,cell wall,cell division,,A
711,Which carbohydrates can be classified in terms of chain length?,complex,binary,atomic,simple,Simple carbohydrates can be classified in terms of chain length.,D
712,What is altered by changes in cardiac output by variable contriction of the arterioles?,blood type,heart rhythm,pulse,blood pressure,,D
713,Eukaryotic cells are cells that contain what?,pathogens,inorganic matter,energy,a nucleus,Eukaryotic cells are cells that contain a nucleus.,D
715,The oxygen regions of the water molecules have what kind of charge?,certain,positive,neutral,negative,,D
719,"Aldehydes, ketones, carboxylic acids, esters, and ethers all have functional groups containing what element?",carbon,silicon,methane,oxygen,"Aldehydes, ketones, carboxylic acids, esters, and ethers h ave oxygencontaining functional groups.",D
732,In what unit is speed usually measured?,Celcius,radians,calories,miles per hour,,D
737,What chemical affects the onset of puberty and duration?,acids,steroids,enzymes,hormones,Puberty lasts from about ages 12 to 18 years and is controlled by hormones.,D
739,What do angiosperms produce?,leaves,scales,needles,flowers and fruit,"a phosphate group, which contains phosphorus and oxygen.",D
758,What do ocean mollusks use to absorb oxygen from the water?,pores,shells,scales,gills,Most ocean mollusks have a gill or gills to absorb oxygen from the water.,D
763,What pathway in a plant do water and nutrients travel through from the roots to the leaves?,skin,bark,flowers,stem,,D
764,In the tropics what are the prevailing winds called?,storm winds,a front,crosswinds,tradewinds,The major wind belts push the water in the surface currents. The water moves in the direction of :.,D
766,Motion of water molecules helps break up interactions between what?,enzymes and acids,ions or hormones,acids and bases,solid ions or molecules,Motion of water molecules helps break up interactions between solid ions or molecules.,D
779,What are the three types of isomers?,"structural, cis-trans, Polystyrene","structural, Polypropylene , enatiomers","structural , chromosome - trans , enatiomers","structural, cis-trans, enatiomers",,D
783,"Macrophages and dendritic cells are types of what""",mast cells,amoena cells,supercapacitor cells,phagocytic cells,,D
784,What side of a mountain does the rainshadow effect occur on?,due north,starboard,windward,the leeward side,Rainshadow effect occurs on the leeward side of a mountain range.,D
805,What creates charged regions in a water molecule?,noncovalent bonds,nonpolar bonds,ionic bonds,polar covalent bonds,,A
813,What is the third male reprodutive structure after the penis and testes?,anus,clitoris,scrotum,epididymis,"Male reproductive structures include the penis, testes, and epididymis.",D
825,Why have rivers in arid regions been reduced to trickles?,emigration,global warming,rainforest destruction,diversion of water,,C
831,Mechanical energy can also usually be expressed as the sum of kinetic energy and what other kind of energy?,partial energy,reflective energy,directional energy,potential energy,Kinetic and potential energy add up to mechanical energy.,D
834,Asexual reproduction in plants is typically an extension of the capacity for what?,blooming growth,extracellular growth,substrate growth,indeterminate growth,,D
840,The main advantage of urea is its very low what?,energy requirement,temperature,cost,toxicity,,B
843,Flowers pollinated by what means generally lack brightly colored parts?,bees,butterflies,larvae,wind,,D
852,What two elements do chloroplasts split water into?,Carbon and water,vaporize and oxygen,Salt and sodium,hydrogen and oxygen,,D
860,What is making measurements that are close to the true value known as?,prediction,estimation,frequency,accuracy,Accuracy means making measurements that are close to the true value.,D
864,What are created based upon the loss or gain of electrons?,hydrogens,crystals,atoms,ions,Christopher Auyeung. Ions are created by the loss or gain of electrons . CC BY-NC 3.0.,D
866,What kind of chain is formed by subduction of oceanic crust beneath a continental or oceanic plate?,mountain,chain reaction,tsunami,volcano,Subduction of oceanic crust beneath a continental or oceanic plate creates a chain of volcanoes.,D
873,Light reactions also release oxygen gas as a what?,strange process,detritus product,formal process,waste product,The light reactions also release oxygen gas as a waste product.,D
882,"The heart, blood vessels, and blood make up which system in the body?",respiratory,digestive,pulminary,cardiovascular,"The cardiovascular system is made up of the heart, the blood vessels, and the blood.",D
883,What unit of measurement is typically used for rainfall?,pounds,gallons,feet,inches,,D
885,What is it called when bones get longer and bigger?,reproduction,expansion,replication,growth,,D
888,What do skeletal muscles enable the body to do?,eat,breathe,look,move,Skeletal Muscles. Skeletal muscles enable the body to move.,D
900,What does phagocytosis defend the body from?,parasites,allergies,obesity,pathogens,4. State how phagocytosis helps defend the body from pathogens.,D
918,What type of movement is caused by erosion from direct gravity?,electron movement,frictional movement,normal movement,mass movement,Outline the forces that act on particles in the nucleus.,D
921,What is the process that breaks down rocks into smaller pieces?,bleaching,erosion,bracing,weathering,,D
927,After what stage do the last 2 stages of food  processing occur?,circulation,filtration,excretion,digestion,,B
933,"Models may be physical, conceptual, or what else?",theoretical,experimental,fundamental,mathematical,"Models may be physical, conceptual, or mathematical.",D
935,What influences the types of plants and animals that inhabit a specific biome?,cooling,carbon,Water,climate,Climate influences the types of plants and animals that inhabit a specific biome.,D
938,"Timber, medicines, dyes, oils, and rubber are just some of the useful products humans derive from what?",flowers,roots,fossils,plants,"Plants provide many products for human use. They include timber, medicines, dyes, oils, and rubber.",D
939,Differences between organisms reflect differences between their nucleotide sequences rather than between their what?,environments,molecular codes,amino acids,genetic codes,,A
941,What type of living things break down dead organisms and recycle their nutrients into the soil?,probiotics,producers,consumers,decomposers,,D
944,What type of environment is maintained in homeostasis?,stable external,fluid internal,noisy internal,constant internal,Homeostasis is maintaining a constant internal environment.,D
948,Adulthood is divided into how many stages?,five,two,four,three,"Adulthood is divided into the stages of early, middle, and late adulthood.",D
950,Is the progeny produced by asexual reproduction stronger or weaker than seedlings produced by sexual reproduction?,weaker,the same,lighter,stronger,,D
952,Bacterial stis usually can be cured with what?,antiviral drugs,pesticides,antioxidants,antibiotics,Bacterial STIs usually can be cured with antibiotics.,D
954,Trophic level 4 = tertiary consumers that eat what kind of consumers?,primary consumers,insects,herbivores,secondary consumers,Trophic level 4 = tertiary consumers that eat secondary consumers.,D
955,What takes the shape of the container they are placed in and have a definite volume?,loads,gases,solids,liquids,,C
957,"Due to the difference in the distribution of charge, water is what type of molecule?",crooked,ionic,uneven,polar,"Due to the difference in the distribution of charge, water is a polar molecule.",D
960,What kind of gland produces an oily substance that waterproofs the hair and skin?,mucous gland,secretion gland,nail gland,sebaceous gland,oily substance produced in the dermis by a sebaceous gland that waterproofs the hair and skin.,D
964,Corals build hard exoskeletons that grow to become what?,fungi,algae,stability reefs,coral reefs,,D
965,What property is the result of force acting on a given area?,resistance,vaccuum,pull,pressure,Pressure is the result of force acting on a given area. It can be represented by the equation:.,D
969,Which part of all mammals have the same basic bone structure?,necks,ankles,knees,forelimbs,The forelimbs of all mammals have the same basic bone structure.,D
970,The symbol for each what is usually the first letter or two of its name?,material,state,property,element,,A
974,"Heterotrophic organisms use organic compounds, usually from other organisms, as a source of what basic element of life?",hydrogen,oxygen,monoxide,carbon,"Heterotrophic organisms use organic compounds, usually from other organisms, as carbon sources.",D
977,Bioluminescence is an example of what type of activity that is carried out by a cell and is precisely coordinated and controlled?,reproduction,growth,respiration,metabolic,,D
983,What is a bread mold and research organism that also grows in the wild on burned vegetation,whey,penicillin,nemophora,neurospora,,D
991,What gas associated with global warming is released when limestone is heated during the production of cement?,oxygen,carbon monoxide,hydrogen,carbon dioxide,Carbon dioxide is released when limestone is heated during the production of cement.,D
992,"Because their embryos are surrounded by a thin membrane, reptiles are considered what?",lineages,carnivorous,vertebrates,amniotes,"Reptiles are also amniotes, which means their embryos are surrounded by a thin membrane.",D
993,What type of energy is clean and does not release greenhouse gases?,lithosphere energy,natural gas,coal,geothermal energy,Geothermal energy is clean and does not release greenhouse gases.,D
