,question,distractor3,distractor1,distractor2,correct_answer,support,long,long_a
38,"Fungus-like protist saprobes play what role in a food chain and are specialized to absorb nutrients from nonliving organic matter, such as dead organisms or their wastes?",fluxes,aphids,Soil,decomposers,"Agents of Decomposition The fungus-like protist saprobes are specialized to absorb nutrients from nonliving organic matter, such as dead organisms or their wastes. For instance, many types of oomycetes grow on dead animals or algae. Saprobic protists have the essential function of returning inorganic nutrients to the soil and water. This process allows for new plant growth, which in turn generates sustenance for other organisms along the food chain. Indeed, without saprobe species, such as protists, fungi, and bacteria, life would cease to exist as all organic carbon became “tied up” in dead organisms.",D,D
39,What are the sites of protein synthesis or assembly?,plasma,chloroplasts,chromosomes,ribosomes,"Ribosomes are small organelles and are the sites of protein synthesis (or assembly). They are made of ribosomal protein and ribosomal RNA, and are found in both eukaryotic and prokaryotic cells. Unlike other organelles, ribosomes are not surrounded by a membrane. Each ribosome has two parts, a large and a small subunit, as shown in Figure below . The subunits are attached to one another. Ribosomes can be found alone or in groups within the cytoplasm. Some ribosomes are attached to the endoplasmic reticulum (ER) (as shown in Figure below ), and others are attached to the nuclear envelope.",D,D
42,What is a group of neuron cell bodies in the periphery called?,gangism,crystals,organism,ganglion,"Ganglia A ganglion is a group of neuron cell bodies in the periphery. Ganglia can be categorized, for the most part, as either sensory ganglia or autonomic ganglia, referring to their primary functions. The most common type of sensory ganglion is a dorsal (posterior) root ganglion. These ganglia are the cell bodies of neurons with axons that are sensory endings in the periphery, such as in the skin, and that extend into the CNS through the dorsal nerve root. The ganglion is an enlargement of the nerve root. Under microscopic inspection, it can be seen to include the cell bodies of the neurons, as well as bundles of fibers that are the posterior nerve root (Figure 13.19). The cells of the dorsal root ganglion are unipolar cells, classifying them by shape. Also, the small round nuclei of satellite cells can be seen surrounding—as if they were orbiting—the neuron cell bodies.",D,D
44,Gases are most ideal at high temperature and what pressure?,stable,absolute,high,low,"Under what conditions then, do gases behave least ideally? When a gas is put under high pressure, its molecules are forced closer together as the empty space between the particles is diminished. A decrease in the empty space means that the assumption that the volume of the particles themselves is negligible is less valid. When a gas is cooled, the decrease in kinetic energy of the particles causes them to slow down. If the particles are moving at slower speeds, the attractive forces between them are more prominent. Another way to view it is that continued cooling the gas will eventually turn it into a liquid and a liquid is certainly not an ideal gas anymore (see liquid nitrogen in the Figure below ). In summary, a real gas deviates most from an ideal gas at low temperatures and high pressures. Gases are most ideal at high temperature and low pressure.",D,D
47,How many people die from air pollution each year?,5 million,14 million,17 million,22 million,Air pollution is harmful to human beings and other living things. About 22 million people die from air pollution each year. Breathing polluted air increases the risk of developing lung diseases such as asthma and lung cancer. Breathing bad air also increases the chances of dying from other diseases. Children are most likely to be affected by air pollution. That’s because their lungs are still developing and growing. Children also take in more air for their size than adults do. Some air pollutants damage the environment as well as the health of living things. The type of damage depends on the pollutant. Air pollution can also harm the environment.,A,A
49,The formation of an amalgam allows the metal to react with what?,blood and sweat,helium and oxygen,cloth and plastic,air and water,"The metals of group 13 (Al, Ga, In, and Tl) are all reactive. However, passivation occurs as a tough, hard, thin film of the metal oxide forms upon exposure to air. Disruption of this film may counter the passivation, allowing the metal to react. One way to disrupt the film is to expose the passivated metal to mercury. Some of the metal dissolves in the mercury to form an amalgam, which sheds the protective oxide layer to expose the metal to further reaction. The formation of an amalgam allows the metal to react with air and water.",D,D
51,What is the name of the small bumps that contain taste buds and covers the tongue?,cuticle,lingual tonsils,palatine tonsils,papillae,"Figure 14.3 The Tongue The tongue is covered with small bumps, called papillae, which contain taste buds that are sensitive to chemicals in ingested food or drink. Different types of papillae are found in different regions of the tongue. The taste buds contain specialized gustatory receptor cells that respond to chemical stimuli dissolved in the saliva. These receptor cells activate sensory neurons that are part of the facial and glossopharyngeal nerves. LM × 1600. (Micrograph provided by the Regents of University of Michigan Medical School © 2012).",D,D
52,"In the absence of air resistance, all falling objects accelerate at the same rate due to what force?",motion,velocity,weight,gravity,"What if you were to drop a bowling ball and a soccer ball at the same time from the same distance above the ground? The bowling ball has greater mass than the basketball, so the pull of gravity on it is greater. Would it fall to the ground faster? No, the bowling ball and basketball would reach the ground at the same time. The reason? The more massive bowling ball is also harder to move because of its greater mass, so it ends up moving at the same acceleration as the soccer ball. This is true of all falling objects. They all accelerate at the same rate due to gravity, unless air resistance affects one object more than another. For example, a falling leaf is slowed down by air resistance more than a falling acorn because of the leaf’s greater surface area. You can simulate the effect of air resistance on acceleration due to gravity by doing the interactive animation at this URL: http://www. science-animations. com/support-files/freefall. swf.",B,D
53,The ability for a plasma membrane to only allow certain molecules in or out of the cell is referred to as what?,moderate permeability,periodic permeability,total permeability,selective permeability,"The plasma membrane forms a barrier between the cytoplasm inside the cell and the environment outside the cell. It protects and supports the cell and also controls everything that enters and leaves the cell. It allows only certain substances to pass through, while keeping others in or out. The ability to allow only certain molecules in or out of the cell is referred to as selective permeability or semipermeability. To understand how the plasma membrane controls what crosses into or out of the cell, you need to know its composition.",D,D
55,What galaxy is our solar system a part of?,Bode's Galaxy,Centaurus,Andromeda,milky way,"Compared to Earth, the solar system is a big place. But galaxies are bigger - a lot bigger. A galaxy is a very large group of stars held together by gravity. How enormous a galaxy is and how many stars it contains are impossible for us to really understand. A galaxy contains up to a few billion stars! Our solar system is in the Milky Way Galaxy. It is so large that if our solar system were the size of your fist, the galaxy’s disk would be wider than the entire United States! There are several different types of galaxies, and there are billions of galaxies in the universe.",D,D
57,"Whether the organism is a bacterium, plant, or animal, all living things access energy by breaking down these?",oxygen molecules,lipid molecules,protein molecules,carbohydrate molecules,"The Energy Cycle Whether the organism is a bacterium, plant, or animal, all living things access energy by breaking down carbohydrate molecules. But if plants make carbohydrate molecules, why would they need to break them down, especially when it has been shown that the gas organisms release as a “waste product” (CO2) acts as a substrate for the formation of more food in photosynthesis? Remember, living things need energy to perform life functions. In addition, an organism can either make its own food or eat another organism—either way, the food still needs to be broken down. Finally, in the process of breaking down food, called cellular respiration, heterotrophs release needed energy and produce “waste” in the form of CO2 gas. In nature, there is no such thing as waste. Every single atom of matter and energy is conserved, recycling over and over infinitely. Substances change form or move from one type of molecule to another, but their constituent atoms never disappear (Figure 8.20). CO2 is no more a form of waste than oxygen is wasteful to photosynthesis. Both are byproducts of reactions that move on to other reactions. Photosynthesis absorbs light energy to build carbohydrates in chloroplasts, and aerobic cellular respiration releases energy by using oxygen to metabolize carbohydrates in the cytoplasm and mitochondria. Both processes use electron transport chains to capture the energy necessary to drive other reactions. These two powerhouse processes, photosynthesis and cellular respiration, function in biological, cyclical harmony to allow organisms to access life-sustaining energy that originates millions of miles away in a burning star humans call the sun.",D,D
59,Which radio frequency should you listen to if you want less noise?,cb,am,wave,fm,"FM radio is inherently less subject to noise from stray radio sources than AM radio. The reason is that amplitudes of waves add. So an AM receiver would interpret noise added onto the amplitude of its carrier wave as part of the information. An FM receiver can be made to reject amplitudes other than that of the basic carrier wave and only look for variations in frequency. It is thus easier to reject noise from FM, since noise produces a variation in amplitude. Television is also broadcast on electromagnetic waves. Since the waves must carry a great deal of visual as well as audio information, each channel requires a larger range of frequencies than simple radio transmission. TV channels utilize frequencies in the range of 54 to 88 MHz and 174 to 222 MHz. (The entire FM radio band lies between channels 88 MHz and 174 MHz. ) These TV channels are called VHF (for very high frequency). Other channels called UHF (for ultra high frequency) utilize an even higher frequency range of 470 to 1000 MHz. The TV video signal is AM, while the TV audio is FM. Note that these frequencies are those of free transmission with the user utilizing an old-fashioned roof antenna. Satellite dishes and cable transmission of TV occurs at significantly higher frequencies and is rapidly evolving with the use of the high-definition or HD format.",C,A
63,What's the term for the gradual progression from simple plants to larger more complex ones in an area?,primary pattern,complex progression,pattern progression,primary succession,"The pioneer species is soon replaced by other populations. Abiotic factors such as soil quality, water, and climate will determine the species that continue the process of succession. Mosses and grasses will be able to grow in the newly created soil. During early succession, plant species like grasses that grow and reproduce quickly will take over the landscape. Over time, these plants improve the soil and a few shrubs can begin to grow. Slowly, the shrubs are replaced by small trees. Small trees then are succeeded by larger trees. Since trees are more successful at competing for resources than shrubs and grasses, a forest may be the end result of primary succession.",D,C
68,What happens to the density of air as the altitude decreases?,increases,multiplies,remains the same,decreases,"The pressure of the earth’s atmosphere, as with any fluid, increases with the height of the column of air. In the case of earth’s atmosphere, there are some complications. The density of the air is not uniform but decreases with altitude. Additionally there is no distinct top surface from which height can be measured. We can, however, calculate the approximate difference in pressure between two altitudes using the equation . The average pressure of the atmosphere at sea level is 1.013 × 10 5 Pa. This pressure is often expressed as 101.3 kPa.",D,C
69,How do some animals change their depth?,spontaneous mutations,mass migration,metamorphosis,by changing their density,"Some animals change their depth by changing their density. Recall that things that are denser than their surroundings sink while those that are less dense than their surroundings float. Most fish have a swim bladder, a special sac that is filled with gases from their blood. When the fish's swim bladder is full, it is less dense than the surrounding water and the fish will rise towards the surface. Another property of water that affects lakes is the unique changes in density during phase changes. The density of most substances increases when a liquid becomes a solid. This is not so for water: Solid water is actually less dense than liquid water. It is for this reason that ice floats. Can you imagine a world where ice sank? Lakes would freeze from the bottom up, killing many fish. Frozen water in the Polar Regions would sink and change the ocean levels. The fact that ice floats is essential for the survival of many aquatic ecosystems and ultimately life on Earth. Besides the changes in density, there are other ways in which the phase changes of water have significant impacts. When water is trapped in small cracks in rocks, it will expand as it freezes and break up the rock causing weathering. The transpiration (evaporation) of water from a good-sized tree can move 1800 liters of water out of the ground in a single day. Sublimation, the phase change between solid and gas, is responsible for the formation of frost. As you can see, water has many special properties that make its role in nature unique. It is considered the ""universal solvent” because its bipolar molecule enables it to dissolve a wide variety of substances. Water is the only substance that occurs naturally in all three states; solid, liquid, and gas. Water is truly a miracle for life!.",D,D
72,Internal and external forms of what life process occur as simple diffusion due to a partial pressure gradient?,photosynthesis,reproduction,metabolism,respiration,"Internal Respiration Internal respiration is gas exchange that occurs at the level of body tissues (Figure 22.23). Similar to external respiration, internal respiration also occurs as simple diffusion due to a partial pressure gradient. However, the partial pressure gradients are opposite of those present at the respiratory membrane. The partial pressure of oxygen in tissues is low, about 40 mm Hg, because oxygen is continuously used for cellular respiration. In contrast, the partial pressure of oxygen in the blood is about 100 mm Hg. This creates a pressure gradient that causes oxygen to dissociate from hemoglobin, diffuse out of the blood, cross the interstitial space, and enter the tissue. Hemoglobin that has little oxygen bound to it loses much of its brightness, so that blood returning to the heart is more burgundy in color. Considering that cellular respiration continuously produces carbon dioxide, the partial pressure of carbon dioxide is lower in the blood than it is in the tissue, causing carbon dioxide to diffuse out of the tissue, cross the interstitial fluid, and enter the blood. It is then carried back to the lungs either bound to hemoglobin, dissolved in plasma, or in a converted form. By the time blood returns to the heart, the partial pressure of oxygen has returned to about 40 mm Hg, and the partial pressure.",D,B
75,What is the common word for potential difference in a circuit?,frequency,watt,velocity,voltage,"Conceptual Questions 19.1 Electric Potential Energy: Potential Difference 1. Voltage is the common word for potential difference. Which term is more descriptive, voltage or potential difference? 2. If the voltage between two points is zero, can a test charge be moved between them with zero net work being done? Can this necessarily be done without exerting a force? Explain. What is the relationship between voltage and energy? More precisely, what is the relationship between potential difference and electric potential energy? 4. Voltages are always measured between two points. Why? 5. How are units of volts and electron volts related? How do they differ?.",D,D
78,"Although air can transfer heat rapidly by convection, it is a poor conductor and thus a good what?",transporter,magnet,absorber,insulator,"Although air can transfer heat rapidly by convection, it is a poor conductor and thus a good insulator. The amount of available space for airflow determines whether air acts as an insulator or conductor. The space between the inside and outside walls of a house, for example, is about 9 cm (3.5 in) —large enough for convection to work effectively. The addition of wall insulation prevents airflow, so heat loss (or gain) is decreased. Similarly, the gap between the two panes of a double-paned window is about 1 cm, which prevents convection and takes advantage of air’s low conductivity to prevent greater loss. Fur, fiber, and fiberglass also take advantage of the low conductivity of air by trapping it in spaces too small to support convection, as shown in the figure. Fur and feathers are lightweight and thus ideal for the protection of animals.",D,B
83,"In experiments with garden peas, austrian monk gregor mendel described the basic patterns of what?",color,behavior,preference,inheritance,"For thousands of years, humans have understood that characteristics such as eye color, hair color, or even flower color are passed from one generation to the next. The passing of characteristics from parent to offspring is called heredity . Humans have long been interested in understanding heredity. Many hereditary mechanisms were developed by scholars but were not properly tested or quantified. The scientific study of genetics did not begin until the late 19 th century. In experiments with garden peas, Austrian monk Gregor Mendel described the basic patterns of inheritance. Keep in mind that while we know about DNA and its role as the genetic material, Mendel did not know of the existence of DNA. Nor did he understand the concept of the chromosome or the process of meiosis, and yet, he was still able to correctly describe basic inheritance patterns.",D,D
84,Nutrition and diet affect your metabolism. more energy is required to break down fats and proteins than this?,minerals,vitamins,electrolytes,carbohydrates,"24.7 Nutrition and Diet Nutrition and diet affect your metabolism. More energy is required to break down fats and proteins than carbohydrates; however, all excess calories that are ingested will be stored as fat in the body. On average, a person requires 1500 to 2000 calories for normal daily activity, although routine exercise will increase that amount. If you ingest more than that, the remainder is stored for later use. Conversely, if you ingest less than that, the energy stores in your body will be depleted. Both the quantity and quality of the food you eat affect your metabolism and can affect your overall health. Eating too much or too little can result in serious medical conditions, including cardiovascular disease, cancer, and diabetes. Vitamins and minerals are essential parts of the diet. They are needed for the proper function of metabolic pathways in the body. Vitamins are not stored in the body, so they must be obtained from the diet or synthesized from precursors available in the diet. Minerals are also obtained from the diet, but they are also stored, primarily in skeletal tissues.",C,C
86,What is the opposite of melting?,compression,evaporation,liquidation,freezing,"All of the changes of state that occur between solid, liquid and gas are summarized in the diagram in the figure below. Freezing is the opposite of melting and both represent the equilibrium between the solid and liquid states. Evaporation occurs when a liquid turns to a gas. Condensation is the opposite of vaporization and both represent the equilibrium between the liquid and gas states. Deposition is the opposite of sublimation and both represent the equilibrium between the solid and gas states.",D,D
87,"A unique characteristic of mammals is the ability to chew, this happens by the temporalis and the masseter allowing what?",Grinding,Up and down,Bakward and forward,side-to-side movement,"The adductor muscle that closes the jaw is composed of two muscles in mammals: the temporalis and the masseter. These allow side-to-side movement of the jaw, making chewing possible, which is unique to mammals. Most mammals have heterodont teeth, meaning that they have different types and shapes of teeth rather than just one type and shape of tooth. Most mammals are diphyodonts, meaning that they have two sets of teeth in their lifetime: deciduous or “baby” teeth, and permanent teeth. Other vertebrates are polyphyodonts, that is, their teeth are replaced throughout their entire life. Mammals, like birds, possess a four-chambered heart. Mammals also have a specialized group of cardiac fibers located in the walls of their right atrium called the sinoatrial node, or pacemaker, which determines the rate at which the heart beats. Mammalian erythrocytes (red blood cells) do not have nuclei, whereas the erythrocytes of other vertebrates are nucleated. The kidneys of mammals have a portion of the nephron called the loop of Henle or nephritic loop, which allows mammals to produce urine with a high concentration of solutes, higher than that of the blood. Mammals lack a renal portal system, which is a system of veins that moves blood from the hind or lower limbs and region of the tail to the kidneys. Renal portal systems are present in all other vertebrates except jawless fishes. A urinary bladder is present in all mammals. Mammalian brains have certain characteristics that differ from other vertebrates. In some, but not all mammals, the cerebral cortex, the outermost part of the cerebrum, is highly folded, allowing for a greater surface area than is possible with a smooth cortex. The optic lobes, located in the midbrain, are divided into two parts in mammals, whereas other vertebrates.",D,C
91,"All alkanes are composed of carbon and hydrogen atoms, and have similar bonds, structures, and formulas; noncyclic alkanes all have a formula of cnh2n+2. the number of carbon atoms present in an alkane has what?",such limit,done limit,crippling limit,no limit,"All alkanes are composed of carbon and hydrogen atoms, and have similar bonds, structures, and formulas; noncyclic alkanes all have a formula of CnH2n+2. The number of carbon atoms present in an alkane has no limit. Greater numbers of atoms in the molecules will lead to stronger intermolecular attractions (dispersion forces) and correspondingly different physical properties of the molecules. Properties such as melting point and boiling point (Table 20.1) usually change smoothly and predictably as the number of carbon and hydrogen atoms in the molecules change. Properties of Some Alkanes[3] Alkane.",A,C
